semester_id,course_id,section,days_met,date,start_time,end_time,building_id,room_no,instructor_id
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,fe1a27f5-3366-46bd-a691-a69d91be8f82,1,W,2022-12-14,17:30:00,20:00:00,07a88d8b-89a9-4f64-8b3f-63671908b8ec,9,ce0c780b-fa90-421c-acae-e0d466e063d9
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,77723ff8-ea53-47b0-886a-6d204178d58d,1,W,2022-12-14,17:30:00,20:00:00,2009fe24-3d61-4957-b8a0-7ce053e6aab9,205,3b097594-e812-4970-a289-47dc798ec2ad
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,4b4a7fd0-5593-4f08-bcf3-82304d0f414d,1,R,2022-12-08,11:00:00,13:30:00,2009fe24-3d61-4957-b8a0-7ce053e6aab9,332,f7575469-4074-4f0f-ab88-5da7455d5f57
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,0cbe5a56-45a2-4086-a0c2-c6d38ff127eb,2,T,2022-12-13,11:00:00,13:30:00,12e6b7c9-3302-4a10-b8c7-19082350df9a,106,34f6afe6-7355-4c5f-8fb1-c64455f15ab1
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,0cbe5a56-45a2-4086-a0c2-c6d38ff127eb,1,R,2022-12-08,08:00:00,10:30:00,12e6b7c9-3302-4a10-b8c7-19082350df9a,105,2e1c961f-b6d2-4ed1-93d9-2b6703e220a4
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,a159efa1-f051-4e3b-955d-a11722b916f7,1,W,2022-12-14,14:00:00,16:30:00,30a7dbaf-3c36-4678-8dfb-777cc54ed273,308,7145c714-49c1-4242-a3c3-eece8f4c306b
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,a72ba89a-9e40-440a-aa5e-f9a97523b5ca,1,W,2022-12-14,14:00:00,16:30:00,96992551-53d9-4236-9148-116e0fe51821,119,0b2e52d0-ce45-4f33-9e52-5f2aaf2c5689
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,dc47d484-b69e-4ed2-ac4f-f5cdabfa611a,1,T,2022-12-13,17:30:00,20:00:00,30a7dbaf-3c36-4678-8dfb-777cc54ed273,404,15cf3337-f3f9-478a-995a-67d49994c73d
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,60b101d1-662a-4acb-b7f5-8e503a30fc05,1,M,2022-12-12,14:00:00,16:30:00,5fda8eef-f027-43a0-9f42-726de988aabf,131,27a58759-3a83-4453-9a05-1ae635e0aa46
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,ab5ef0d2-2d81-46cd-8e4d-9230cbb9de25,1,R,2022-12-08,11:00:00,13:30:00,2009fe24-3d61-4957-b8a0-7ce053e6aab9,332,f7575469-4074-4f0f-ab88-5da7455d5f57
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,f98c2c99-722a-46b0-80d3-b466963beee9,1,W,2022-12-14,14:00:00,16:30:00,30a7dbaf-3c36-4678-8dfb-777cc54ed273,308,7145c714-49c1-4242-a3c3-eece8f4c306b
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,e37eb664-8057-4576-b0ea-0049ca001c4f,1,R,2022-12-08,11:00:00,13:30:00,4139fc29-2373-48d8-9dea-2d9261384942,202,b77d939a-22dd-4720-b128-ba0b3892e3ef
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,0c4e562c-6f89-4a10-a1d8-e1202335453a,1,T,2022-12-13,17:30:00,20:00:00,12e6b7c9-3302-4a10-b8c7-19082350df9a,229,cbb73955-ea0e-48ea-938b-b349b5830b2e
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,524a31e5-1dc3-47a5-93e3-addf528a1c46,1,F,2022-12-09,17:30:00,20:00:00,30a7dbaf-3c36-4678-8dfb-777cc54ed273,402,ca651db4-3f47-4279-9680-28d9f36a03ee
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,4f149692-0cac-4123-9176-63ea51129fd1,7,F,2022-12-09,17:30:00,20:00:00,30a7dbaf-3c36-4678-8dfb-777cc54ed273,402,ca651db4-3f47-4279-9680-28d9f36a03ee
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,00103314-7cc2-4ad3-9125-7ccde38188ea,1,T,2022-12-13,17:30:00,20:00:00,30a7dbaf-3c36-4678-8dfb-777cc54ed273,404,15cf3337-f3f9-478a-995a-67d49994c73d
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,8313245f-9eb7-4e16-b548-d08f056b732c,2,T,2022-12-13,11:00:00,13:30:00,12e6b7c9-3302-4a10-b8c7-19082350df9a,106,34f6afe6-7355-4c5f-8fb1-c64455f15ab1
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,8313245f-9eb7-4e16-b548-d08f056b732c,1,R,2022-12-08,08:00:00,10:30:00,12e6b7c9-3302-4a10-b8c7-19082350df9a,105,2e1c961f-b6d2-4ed1-93d9-2b6703e220a4
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,eb160647-6ece-48a6-9f04-49b90ac636ef,1,W,2022-12-14,20:15:00,22:45:00,5fda8eef-f027-43a0-9f42-726de988aabf,130,4b5cb85c-3e35-412e-bf6b-3f671ae10947
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,62a4a50b-0a34-47a6-b0e5-6721de820883,1,T,2022-12-13,11:00:00,13:30:00,272c323e-5568-4020-afee-50c2d951dac4,103,0b2e52d0-ce45-4f33-9e52-5f2aaf2c5689
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,e3be795a-2225-48c4-a2a9-3f16fb337245,1,T,2022-12-13,14:00:00,16:30:00,bd11c1db-0af2-4ef5-98eb-196bee73855b,114,15cf3337-f3f9-478a-995a-67d49994c73d
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,f2c1af27-da5e-4066-8d2d-e691f906dfed,1,T,2022-12-13,11:00:00,13:30:00,2009fe24-3d61-4957-b8a0-7ce053e6aab9,100,51653cbf-0ac6-4669-880e-1dbe293068cb
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,eb258eee-9691-46c3-afb7-d14600e33c42,1,R,2022-12-08,14:00:00,16:30:00,30a7dbaf-3c36-4678-8dfb-777cc54ed273,311,478da60b-2ee9-4890-9e3a-83512392f000
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,0a91e97e-a6da-4609-8ec6-bf907ae66d07,1,T,2022-12-13,14:00:00,16:30:00,272c323e-5568-4020-afee-50c2d951dac4,103,d05e3604-bacf-4457-8986-1ba148cf7e7a
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,f8ae6876-9a04-4850-af9c-5baa57f0a702,1,R,2022-12-08,14:00:00,16:30:00,30a7dbaf-3c36-4678-8dfb-777cc54ed273,311,478da60b-2ee9-4890-9e3a-83512392f000
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,064b9ae4-8cf3-4306-9546-a288b3e7e5b4,1,T,2022-12-13,11:00:00,13:30:00,2009fe24-3d61-4957-b8a0-7ce053e6aab9,100,51653cbf-0ac6-4669-880e-1dbe293068cb
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,fb4279ed-dfd9-4f8e-9909-90aed2c8ef4b,1,T,2022-12-13,08:00:00,10:30:00,5fda8eef-f027-43a0-9f42-726de988aabf,131,f0a0d946-2925-40e8-adcc-7fb19b02b9cf
